"Region","Packaging","Produce_Type","Month","Average_Spec_Volume"
"California","plu4046","conventional","1",1734172.5275
"California","plu4046","conventional","2",1983986.44
"California","plu4046","conventional","3",1744289.456
"California","plu4046","conventional","4",1987947.3425
"California","plu4046","conventional","5",2249222.184
"California","plu4046","conventional","6",2008575.3075
"California","plu4046","conventional","7",2125825.2525
"California","plu4046","conventional","8",1961001.03
"California","plu4046","conventional","9",2080503.86
"California","plu4046","conventional","10",1734645.6275
"California","plu4046","conventional","11",1580684.948
"California","plu4046","conventional","12",1522350.5225
"California","plu4046","organic","1",22133.1725
"California","plu4046","organic","2",21523.445
"California","plu4046","organic","3",24226.826
"California","plu4046","organic","4",38092.38
"California","plu4046","organic","5",30850.832
"California","plu4046","organic","6",34210.03
"California","plu4046","organic","7",34349.13
"California","plu4046","organic","8",24088.252
"California","plu4046","organic","9",22009.9475
"California","plu4046","organic","10",17918.0725
"California","plu4046","organic","11",17214.954
"California","plu4046","organic","12",18103.7625
"California","plu4225","conventional","1",783819.69
"California","plu4225","conventional","2",821649.31
"California","plu4225","conventional","3",669672.9
"California","plu4225","conventional","4",869747.7225
"California","plu4225","conventional","5",997473.668
"California","plu4225","conventional","6",965996.2925
"California","plu4225","conventional","7",856949.6475
"California","plu4225","conventional","8",965134.078
"California","plu4225","conventional","9",721112.6775
"California","plu4225","conventional","10",732642.7475
"California","plu4225","conventional","11",653315.97
"California","plu4225","conventional","12",620297.3825
"California","plu4225","organic","1",13260.775
"California","plu4225","organic","2",16089.9
"California","plu4225","organic","3",25373.536
"California","plu4225","organic","4",29924.275
"California","plu4225","organic","5",25223.004
"California","plu4225","organic","6",20242.975
"California","plu4225","organic","7",20285.4425
"California","plu4225","organic","8",18183.534
"California","plu4225","organic","9",17916.3775
"California","plu4225","organic","10",16200.8825
"California","plu4225","organic","11",64047.57
"California","plu4225","organic","12",59417.1825
"California","plu4770","conventional","1",160544.195
"California","plu4770","conventional","2",202757.605
"California","plu4770","conventional","3",101508.582
"California","plu4770","conventional","4",134525.7725
"California","plu4770","conventional","5",200602.496
"California","plu4770","conventional","6",289171.375
"California","plu4770","conventional","7",238823.6325
"California","plu4770","conventional","8",170253.872
"California","plu4770","conventional","9",212664.88
"California","plu4770","conventional","10",140384.97
"California","plu4770","conventional","11",136223.886
"California","plu4770","conventional","12",163844.61
"California","plu4770","organic","1",19.19
"California","plu4770","organic","2",18.5925
"California","plu4770","organic","3",55.398
"California","plu4770","organic","4",98.9175
"California","plu4770","organic","5",61.588
"California","plu4770","organic","6",62.95
"California","plu4770","organic","7",35.28
"California","plu4770","organic","8",16.272
"California","plu4770","organic","9",17.195
"California","plu4770","organic","10",14.3175
"California","plu4770","organic","11",20.334
"California","plu4770","organic","12",40.49
"GreatLakes","plu4046","conventional","1",774003.435
"GreatLakes","plu4046","conventional","2",811589.355
"GreatLakes","plu4046","conventional","3",877852.05
"GreatLakes","plu4046","conventional","4",1073437.855
"GreatLakes","plu4046","conventional","5",1324567.29
"GreatLakes","plu4046","conventional","6",1161800.9375
"GreatLakes","plu4046","conventional","7",1034272.615
"GreatLakes","plu4046","conventional","8",960093.882
"GreatLakes","plu4046","conventional","9",831261.6
"GreatLakes","plu4046","conventional","10",775848.16
"GreatLakes","plu4046","conventional","11",704724.802
"GreatLakes","plu4046","conventional","12",653692.3725
"GreatLakes","plu4046","organic","1",6882.3025
"GreatLakes","plu4046","organic","2",6261.4225
"GreatLakes","plu4046","organic","3",5224.696
"GreatLakes","plu4046","organic","4",7687.745
"GreatLakes","plu4046","organic","5",7825.626
"GreatLakes","plu4046","organic","6",6085.105
"GreatLakes","plu4046","organic","7",6568.8325
"GreatLakes","plu4046","organic","8",6253.086
"GreatLakes","plu4046","organic","9",5357.2575
"GreatLakes","plu4046","organic","10",4649.345
"GreatLakes","plu4046","organic","11",4851.052
"GreatLakes","plu4046","organic","12",4425.62
"GreatLakes","plu4225","conventional","1",776178.15
"GreatLakes","plu4225","conventional","2",797530.1525
"GreatLakes","plu4225","conventional","3",589633.228
"GreatLakes","plu4225","conventional","4",659915.5125
"GreatLakes","plu4225","conventional","5",791784.998
"GreatLakes","plu4225","conventional","6",699106.525
"GreatLakes","plu4225","conventional","7",746088.7375
"GreatLakes","plu4225","conventional","8",630372.7
"GreatLakes","plu4225","conventional","9",573892.695
"GreatLakes","plu4225","conventional","10",643158.545
"GreatLakes","plu4225","conventional","11",621949.032
"GreatLakes","plu4225","conventional","12",642286.5575
"GreatLakes","plu4225","organic","1",27358.0875
"GreatLakes","plu4225","organic","2",17924.74
"GreatLakes","plu4225","organic","3",17812.596
"GreatLakes","plu4225","organic","4",22913.585
"GreatLakes","plu4225","organic","5",23670.914
